cid,parent_cid,parent_app_id,product_notes,firmware
WFA10526,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10475,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10478,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10481,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10483,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10502,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10521,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10541,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10546,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10557,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10486,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10494,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10508,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10485,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10487,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10489,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10490,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10491,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10492,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10493,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10495,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10496,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10497,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10498,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10499,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10500,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10501,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10509,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10510,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10511,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10512,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10513,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10514,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10515,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10528,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10531,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10533,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10534,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10476,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10477,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10479,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10480,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10482,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10484,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10488,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10504,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10505,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10506,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10507,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10529,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10530,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10532,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10547,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10548,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10551,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10516,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10518,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
WFA10519,WFA10336,11382,"CPU: MIPS
OS: Linux
The firmware is updated from version 2.0 to 2.1.
This software change does not affect the previous 802.11n and WPS1.0 certifications.",2.1
